medicine_name,manufacturer,composition,packaging,price(Rs.)
Augtab 250,Dr Reddy,paracetamol(40 mg),10 capsules,372.16
Augcin 10,Glenmark,FEXOFENADINE-100mg,5 ml,
Omeforte 1000,Abbott India,FEXOFENADINE-200mg,5 ml,
Cetds 10,Alkem Labs,AMOXICILLIN-500mg,10 tablets,525.57
Amoxtab 250,Zydus Cadila,clopidogrel 250mg,15 tablets,179.25
Amoxforte 40,Glenmark,Sertraline (500mg),10 tablets,356.58
Azeecap 500,Alkem Labs,ONDANSETRON-10mg,5 ml,
Cetcin 1000,Zydus Cadila,levothyroxine(400mg),15 tablets,231.65
Metplus 20,Lupin,Zinc Sulphate (500mg),5 ml,189.59
Brutab 500,Mankind Pharma,ciprofloxacin 40mg,10 capsules,101.73
Amoxcap 20,Zydus Cadila,levocetirizine 100mg,15 tablets,244.64
Clavds 10,Mankind Pharma,Diclofenac (10 mg),30 tablets,262.2
Augsr 40,Wockhardt,VITAMIN D3-500mg,5 ml,543.71
Augsol 1000,Mankind Pharma,methylcobalamin 400 mg,10 capsules,247.62
Dolood 250,Hetero Drugs,Ranitidine 1000  mg,5 ml,166.37
Clavxr 10,Sanofi India,PANTOPRAZOLE-500mg,10 tablets,185.69
Clavforte 500,Aurobindo Pharma,ESOMEPRAZOLE-400mg,5 ml,178.82
Metforte 500,Glenmark,Telmisartan 1000  mg,6 tablets,340.23
Metcap 1000,Novartis India,levocetirizine(20mg),30 tablets,127.91
Omeforte 10,Zydus Cadila,rabeprazole(40 mg),30 tablets,56.42
Amoxsol 40,Abbott India,levocetirizine(5mg),30 tablets,177.68
Omexr 40,Sun Pharma,fexofenadine(400mg),1 bottle,326.73
Dolosol 40,Wockhardt,Aspirin (400 mg),10 tablets,568.23
Metcin 10,Dr Reddy,Alprazolam 5 mg,10 tablets,485.39
Azeeod 10,Lupin,Sertraline (40mg),30 tablets,490.19
Amoxod 500,Aurobindo Pharma,IBUPROFEN-400mg,6 tablets,77.75
Augxr 500,Intas Pharma,ondansetron(5mg),5 ml,199.4
Brusol 500,Intas Pharma,Vitamin d3 40 mg,30 tablets,361.93
Bruod 1000,Sun Pharma,vitamin d3 200 mg,15 tablets,307.33
Amoxod 10,Aurobindo Pharma,Azithromycin 40 mg,6 tablets,60.35
Dolosol 20,Abbott India,ibuprofen(10 mg),15 tablets,73.68
Brusol 20,Sun Pharma,pantoprazole(500 mg),10 tablets,
Amoxsol 10,Abbott India,OMEPRAZOLE-5mg,30 tablets,551.24
Panod 20,Lupin,doxycycline(200mg),30 tablets,479.91
Pantab 1000,Dabur Pharma,Atorvastatin 10  mg,15 tablets,545.96
Pancin 1000,Dr Reddy,glimepiride(200 mg),5 ml,396.45
Bruxr 250,Novartis India,amoxicillin(20mg),5 ml,
Omesol 1000,Intas Pharma,ATORVASTATIN-500mg,15 tablets,305.15
Dolosol 250,Cipla,PREGABALIN-200mg,15 tablets,259.88
Azeexr 250,Lupin,cetirizine(40 mg),15 tablets,55.26
Omeod 40,Alkem Labs,Omeprazole (40 mg),15 tablets,
Azeeds 40,Sun Pharma,Amlodipine 100 mg,15 tablets,60.25
Augtab 20,Glenmark,gabapentin 20 mg,15 tablets,134.17
Brusol 20,Intas Pharma,Esomeprazole 40  mg,5 ml,50.47
Brutab 20,Dabur Pharma,amoxicillin 40 mg,10 tablets,599.26
Mettab 1000,Cipla,azithromycin 500 mg,10 tablets,0.0
Bruds 1000,Aurobindo Pharma,CALCIUM CARBONATE-10mg,10 tablets,489.98
Cetforte 1000,Dr Reddy,ranitidine 40 mg,10 tablets,296.04
Clavplus 20,Dabur Pharma,tramadol(200 mg),6 tablets,319.22
Metcin 250,Himalaya,calcium carbonate(100mg),10 capsules,226.59
Brusol 1000,Hetero Drugs,Clopidogrel 10  mg,6 tablets,223.52
Bruxr 500,Pfizer India,Ranitidine (20 mg),15 tablets,458.17
Pantab 1000,GSK India,Losartan (1000 mg),10 tablets,516.54
Brucap 1000,Sanofi India,Ciprofloxacin 250 mg,6 tablets,31.99
Azeeod 250,Wockhardt,Cetirizine (250mg),1 bottle,406.01
Pansr 10,Novartis India,CETIRIZINE-40mg,15 tablets,107.75
Azeecap 500,Abbott India,ROSUVASTATIN-40mg,15 tablets,
Metforte 20,Zydus Cadila,telmisartan 40 mg,10 capsules,
Clavtab 500,Torrent Pharma,omeprazole(500mg),1 bottle,228.83
Dolosr 500,Glenmark,Aspirin (500 mg),15 tablets,105.52
Dolosr 20,Lupin,paracetamol 10 mg,6 tablets,588.48
Omecin 1000,Novartis India,ASPIRIN-250mg,10 tablets,68.58
Dolocap 20,Dr Reddy,clopidogrel 400mg,10 capsules,458.48
Augplus 40,Wockhardt,glimepiride(40 mg),5 ml,
Panxr 500,Dabur Pharma,omeprazole(5 mg),15 tablets,455.56
Omecap 250,Novartis India,Ibuprofen 400 mg,10 capsules,139.38
Clavcin 1000,Aurobindo Pharma,DICLOFENAC-200mg,10 capsules,490.08
Pands 1000,Himalaya,fluoxetine(500 mg),30 tablets,
Amoxforte 500,Cipla,levocetirizine(10 mg),6 tablets,315.73
Brusr 500,Aurobindo Pharma,Rabeprazole (1000mg),30 tablets,146.25
Augxr 250,Glenmark,Amoxicillin 1000 mg,15 tablets,556.45
Dolosol 40,Cipla,montelukast(200 mg),15 tablets,20.13
Amoxplus 10,Aurobindo Pharma,ondansetron(40mg),30 tablets,466.13
Cetsol 40,Intas Pharma,levothyroxine(250mg),6 tablets,91.38
Augcap 1000,Torrent Pharma,Alprazolam (250mg),10 tablets,73.48
Dolosr 1000,Novartis India,ondansetron 10mg,30 tablets,
Cetplus 500,Aurobindo Pharma,ranitidine(40 mg),10 tablets,226.4
Dolood 1000,Dabur Pharma,DOXYCYCLINE-400mg,5 ml,220.43
Metcin 1000,Sanofi India,LEVOTHYROXINE-400mg,1 bottle,19.99
Augcap 250,Dabur Pharma,ondansetron(40mg),10 tablets,295.34
Augds 500,Dr Reddy,amlodipine 250mg,1 bottle,543.86
Augcin 10,Dabur Pharma,Ranitidine 1000  mg,15 tablets,139.0
Cetds 250,Abbott India,Amoxicillin (5mg),10 capsules,186.83
Omeod 250,Cipla,PARACETAMOL-40mg,1 bottle,70.9
Omeod 250,Dabur Pharma,Esomeprazole 400 mg,1 bottle,9.22
Cetcap 1000,Lupin,Vitamin d3 250  mg,1 bottle,230.93
Clavplus 250,Hetero Drugs,fluoxetine(1000mg),30 tablets,438.44
Dolosol 500,Intas Pharma,Metoprolol (400mg),5 ml,447.8
Doloxr 1000,Dr Reddy,tramadol(20 mg),30 tablets,269.13
Dolosol 40,Intas Pharma,paracetamol(10mg),5 ml,371.65
Bruforte 250,Wockhardt,Diclofenac 40  mg,6 tablets,212.0
Clavcap 20,Sun Pharma,LEVOCETIRIZINE-1000mg,5 ml,59.23
Clavcin 500,Dr Reddy,Pregabalin 500 mg,5 ml,86.17
Augxr 500,Sun Pharma,Sertraline 400  mg,1 bottle,206.5
Cettab 500,Hetero Drugs,fluoxetine(10mg),10 capsules,232.1
Ometab 1000,Abbott India,Alprazolam 500  mg,1 bottle,508.72
Dolosol 20,Pfizer India,AMOXICILLIN-250mg,5 ml,453.39
Bruforte 20,Zydus Cadila,ASPIRIN-1000mg,30 tablets,397.95
Azeeplus 250,GSK India,ZINC SULPHATE-5mg,5 ml,298.61
Dolosol 20,Himalaya,fluoxetine 10 mg,10 tablets,90.56
Bruxr 1000,Mankind Pharma,ibuprofen 1000 mg,6 tablets,116.92
Cetplus 1000,Zydus Cadila,Ciprofloxacin (500 mg),1 bottle,566.3
Bruod 10,Aurobindo Pharma,aspirin 40 mg,30 tablets,586.64
Amoxod 1000,Mankind Pharma,Glimepiride 200  mg,15 tablets,
Clavcap 20,Sun Pharma,levocetirizine 20mg,1 bottle,255.93
Cetsr 10,Wockhardt,Azithromycin (20mg),5 ml,428.89
Metplus 40,Pfizer India,levothyroxine(250mg),10 capsules,527.38
Dolocin 500,Wockhardt,methylcobalamin 10mg,5 ml,95.23
Augod 10,Intas Pharma,Tramadol (400 mg),30 tablets,515.92
Metsol 40,Pfizer India,Clonazepam (100mg),10 tablets,369.69
Cetcin 20,Alkem Labs,PREGABALIN-20mg,1 bottle,421.64
Brusol 10,Pfizer India,Ondansetron 40  mg,10 tablets,381.04
Omecap 500,Sun Pharma,CLONAZEPAM-10mg,10 tablets,24.02
Bruplus 20,Torrent Pharma,clonazepam(100mg),15 tablets,128.5
Azeecap 40,Sun Pharma,Diclofenac 200  mg,5 ml,327.83
Doloplus 20,Sun Pharma,Omeprazole 5 mg,5 ml,551.07
Bruplus 20,Novartis India,Calcium Carbonate (20mg),30 tablets,0.0
Omeod 500,Dabur Pharma,domperidone 20mg,30 tablets,229.53
Brutab 10,Glenmark,Paracetamol (1000mg),30 tablets,212.23
Azeeod 40,Alkem Labs,Metformin (400 mg),10 capsules,456.34
Mettab 1000,Cipla,atorvastatin 500mg,30 tablets,248.15
Omeplus 20,Sanofi India,DOXYCYCLINE-250mg,6 tablets,390.27
Clavcin 250,Alkem Labs,Rosuvastatin (5 mg),10 tablets,553.93
Augds 1000,GSK India,Glimepiride (20 mg),5 ml,29.37
Azeeds 40,Aurobindo Pharma,Metoprolol (20 mg),10 capsules,424.34
Bruds 10,Sanofi India,omeprazole 10mg,1 bottle,74.79
Azeesol 40,Himalaya,rabeprazole 20 mg,6 tablets,125.93
Metforte 500,Glenmark,Amoxicillin (250 mg),10 capsules,159.31
Cetds 1000,Pfizer India,rosuvastatin 10 mg,6 tablets,154.17
Cetxr 10,Mankind Pharma,vitamin d3(200 mg),30 tablets,398.4
Dolods 1000,Cipla,sertraline(250 mg),10 tablets,557.99
Azeeforte 500,Sun Pharma,DOXYCYCLINE-250mg,15 tablets,101.29
Metplus 1000,Novartis India,rabeprazole(10 mg),5 ml,49.22
Azeeforte 1000,Zydus Cadila,metformin 40mg,5 ml,
Clavsr 500,Sun Pharma,GABAPENTIN-20mg,10 capsules,532.51
Augsr 10,GSK India,CIPROFLOXACIN-400mg,5 ml,552.55
Augds 10,Glenmark,ALPRAZOLAM-100mg,15 tablets,125.46
Cetplus 500,Dr Reddy,DICLOFENAC-1000mg,10 tablets,122.53
Omeod 40,Pfizer India,Metformin 500  mg,1 bottle,542.75
Clavxr 1000,Aurobindo Pharma,Vitamin D3 (40 mg),30 tablets,464.95
Bruds 500,Dabur Pharma,glimepiride(500mg),6 tablets,
Amoxcap 40,Mankind Pharma,ZINC SULPHATE-500mg,5 ml,232.88
Omeod 250,Zydus Cadila,TRAMADOL-5mg,5 ml,458.06
Amoxsr 40,Hetero Drugs,Paracetamol (20 mg),6 tablets,0.0
Omeforte 250,Himalaya,Azithromycin 250  mg,10 tablets,449.17
Pancap 10,Sun Pharma,Metoprolol (10 mg),10 capsules,214.4
Azeesol 500,Dabur Pharma,losartan 20 mg,1 bottle,196.64
Omeplus 20,Dabur Pharma,Rosuvastatin (40 mg),15 tablets,246.53
Bruplus 40,Wockhardt,rabeprazole(400mg),6 tablets,
Bruxr 1000,Zydus Cadila,Doxycycline 1000 mg,5 ml,94.58
Augcap 1000,Himalaya,gabapentin 250 mg,15 tablets,9.55
Pantab 1000,Aurobindo Pharma,metoprolol(250mg),6 tablets,
Doloplus 500,Novartis India,Omeprazole (200 mg),5 ml,495.75
Brusol 10,Abbott India,DOMPERIDONE-500mg,30 tablets,362.18
Panod 250,Cipla,Paracetamol (1000mg),6 tablets,319.58
Panplus 20,Lupin,pregabalin(20 mg),6 tablets,580.57
Azeeod 500,Dr Reddy,ciprofloxacin 250 mg,30 tablets,0.0
Augxr 10,Abbott India,ciprofloxacin 500mg,6 tablets,60.4
Cetxr 20,Dr Reddy,gabapentin(250mg),15 tablets,47.53
Augcin 1000,Torrent Pharma,Methylcobalamin 100 mg,5 ml,547.53
Metcin 20,Novartis India,omeprazole 500mg,15 tablets,264.13
Azeeod 250,Zydus Cadila,zinc sulphate 5 mg,10 tablets,450.22
Pantab 10,Hetero Drugs,Ciprofloxacin 40  mg,6 tablets,488.88
Cetds 20,GSK India,Cetirizine 5  mg,1 bottle,487.81
Omexr 40,Hetero Drugs,fexofenadine(400 mg),10 tablets,103.59
Augds 40,Wockhardt,Pantoprazole 40 mg,1 bottle,312.81
Dolocap 500,Aurobindo Pharma,Diclofenac (1000 mg),5 ml,333.78
Clavsol 1000,Intas Pharma,Gabapentin 250 mg,10 capsules,342.84
Bruforte 20,Pfizer India,Zinc sulphate 40  mg,15 tablets,
Dolocin 250,Novartis India,domperidone 400 mg,10 tablets,551.73
Azeeod 500,Glenmark,Diclofenac 10 mg,1 bottle,346.42
Azeesr 250,Dr Reddy,rosuvastatin 1000 mg,10 capsules,391.79
Pancin 40,Hetero Drugs,Fexofenadine (500mg),5 ml,365.25
Augforte 40,Novartis India,Ranitidine 5  mg,5 ml,0.0
Pantab 250,Himalaya,CIPROFLOXACIN-250mg,15 tablets,440.8
Amoxcap 20,Cipla,Atorvastatin 5  mg,1 bottle,0.0
Metsol 10,Mankind Pharma,CALCIUM CARBONATE-500mg,15 tablets,366.0
Augsol 250,Cipla,IBUPROFEN-1000mg,10 tablets,564.73
Clavsr 1000,Torrent Pharma,RABEPRAZOLE-10mg,6 tablets,149.62
Omeplus 1000,GSK India,glimepiride 250mg,5 ml,239.49
Bruds 10,Cipla,levocetirizine 40 mg,6 tablets,475.08
Omeplus 10,Glenmark,esomeprazole 400mg,6 tablets,395.95
Amoxds 500,Alkem Labs,levocetirizine(500 mg),6 tablets,473.64
Brusr 500,Mankind Pharma,Rosuvastatin 400  mg,5 ml,265.03
Augsr 1000,Sun Pharma,LEVOTHYROXINE-400mg,5 ml,0.0
Bruod 20,Mankind Pharma,ALPRAZOLAM-100mg,5 ml,137.32
Azeecin 1000,Glenmark,aspirin(10 mg),5 ml,22.08
Azeeplus 10,Dabur Pharma,Metformin (500 mg),15 tablets,
Clavsol 20,Mankind Pharma,tramadol 5mg,5 ml,35.04
Dolocin 500,Glenmark,fluoxetine(20mg),30 tablets,0.0
Omeforte 250,Novartis India,levocetirizine 20mg,30 tablets,408.54
Omeplus 500,Mankind Pharma,Montelukast (250 mg),10 capsules,211.3
Augod 1000,Abbott India,TRAMADOL-200mg,5 ml,119.35
Dolood 250,Abbott India,CETIRIZINE-10mg,6 tablets,170.66
Bruxr 500,Zydus Cadila,ranitidine 20 mg,10 capsules,485.23
Metds 40,Abbott India,Clonazepam 500  mg,10 capsules,408.72
Clavtab 20,Cipla,Omeprazole 200 mg,5 ml,145.43
Metsr 40,Glenmark,montelukast 500 mg,5 ml,26.5
Metsol 10,Wockhardt,Ranitidine (400 mg),1 bottle,156.11
Cetxr 1000,Hetero Drugs,Omeprazole 250  mg,1 bottle,530.72
Augxr 500,Lupin,alprazolam(200mg),10 capsules,16.36
Brusol 250,Dabur Pharma,Methylcobalamin (400mg),5 ml,475.74
Amoxforte 250,GSK India,Clopidogrel 1000 mg,10 tablets,429.67
Mettab 500,Wockhardt,GABAPENTIN-20mg,1 bottle,571.74
Azeeforte 250,Cipla,clonazepam(400 mg),30 tablets,397.28
Pancap 20,Intas Pharma,Esomeprazole 400 mg,30 tablets,112.02
Dolosr 10,Hetero Drugs,Losartan 20 mg,5 ml,284.2
Amoxplus 500,Sun Pharma,clopidogrel(100mg),6 tablets,538.02
Mettab 250,Dabur Pharma,Montelukast 400 mg,30 tablets,413.92
Omeforte 250,Lupin,Vitamin d3 40  mg,6 tablets,249.54
Omesr 500,Glenmark,Tramadol 20 mg,5 ml,515.48
Metod 500,Sanofi India,Metoprolol (1000mg),1 bottle,100.78
Augxr 10,Pfizer India,methylcobalamin 1000mg,15 tablets,0.0
Pansr 40,Pfizer India,amlodipine(200 mg),1 bottle,180.87
Amoxforte 250,Cipla,OMEPRAZOLE-500mg,30 tablets,
Azeeod 250,Novartis India,RABEPRAZOLE-5mg,1 bottle,533.14
Azeexr 10,Dabur Pharma,ROSUVASTATIN-500mg,30 tablets,0.0
Metplus 10,Dabur Pharma,Metformin (200mg),5 ml,413.43
Bruds 20,Abbott India,ATORVASTATIN-400mg,5 ml,64.98
Panforte 250,Mankind Pharma,Pregabalin 20 mg,10 tablets,152.26
Omesol 20,Zydus Cadila,GABAPENTIN-100mg,10 tablets,397.26
Omexr 20,Alkem Labs,ranitidine(500mg),6 tablets,79.96
Omesr 500,Novartis India,LEVOCETIRIZINE-250mg,10 capsules,445.06
Augcap 250,GSK India,alprazolam 200 mg,1 bottle,33.3
Omexr 500,Sun Pharma,Cetirizine 500 mg,1 bottle,167.24
Augcin 20,Mankind Pharma,Gabapentin (250 mg),15 tablets,227.82
Amoxforte 1000,Torrent Pharma,vitamin d3(1000mg),5 ml,561.37
Omeod 500,Glenmark,zinc sulphate 1000 mg,1 bottle,276.48
Cetxr 500,Sanofi India,diclofenac(10mg),1 bottle,354.12
Panforte 1000,Novartis India,Ondansetron 1000  mg,15 tablets,300.7
Cetsol 40,Cipla,clonazepam 40 mg,15 tablets,395.92
Bruxr 500,Intas Pharma,rabeprazole 1000mg,5 ml,300.59
Omeplus 500,Pfizer India,Glimepiride (10mg),1 bottle,378.72
Azeexr 500,Dabur Pharma,Alprazolam (400mg),1 bottle,533.21
Clavxr 20,Aurobindo Pharma,losartan 1000 mg,10 capsules,
Panplus 20,Abbott India,rabeprazole(400 mg),10 tablets,138.17
Dolood 500,Dr Reddy,CIPROFLOXACIN-1000mg,5 ml,450.12
Bruforte 20,GSK India,CALCIUM CARBONATE-10mg,10 tablets,140.05
Omeds 10,Himalaya,METFORMIN-1000mg,10 tablets,108.84
Azeetab 10,Sun Pharma,AZITHROMYCIN-5mg,10 tablets,420.34
Clavds 40,Pfizer India,metformin 40 mg,10 capsules,157.21
Dolocap 500,Dabur Pharma,vitamin d3(20 mg),10 tablets,71.02
Omeds 20,Hetero Drugs,Levocetirizine 250  mg,10 capsules,324.45
Doloxr 500,GSK India,Paracetamol (10 mg),15 tablets,64.07
Cetxr 250,Hetero Drugs,pantoprazole 20 mg,1 bottle,255.78
Clavsol 20,Dr Reddy,fluoxetine(400 mg),10 tablets,512.94
Pantab 500,Sanofi India,Vitamin d3 500 mg,15 tablets,0.0
Cettab 10,Hetero Drugs,Atorvastatin 10  mg,15 tablets,139.31
Azeeforte 1000,GSK India,Azithromycin (400mg),10 capsules,350.41
Cetod 1000,GSK India,CALCIUM CARBONATE-500mg,6 tablets,451.84
Metod 20,Wockhardt,alprazolam 400mg,5 ml,332.51
Doloforte 250,Zydus Cadila,telmisartan(5mg),15 tablets,267.26
Amoxsr 10,Dr Reddy,ranitidine(250 mg),6 tablets,539.63
Azeexr 500,Cipla,Ranitidine 5 mg,10 tablets,346.3
Omeforte 10,Glenmark,doxycycline 400 mg,15 tablets,0.0
Azeeforte 20,Dabur Pharma,Aspirin 250 mg,1 bottle,35.32
Cetplus 40,Novartis India,montelukast(500 mg),1 bottle,27.01
Metforte 40,GSK India,Ranitidine 10 mg,6 tablets,567.86
Clavsr 500,Alkem Labs,Alprazolam (1000mg),15 tablets,561.11
Amoxcin 40,Abbott India,Amlodipine 10 mg,6 tablets,552.57
Metcin 10,Dabur Pharma,Pantoprazole (200mg),10 capsules,406.84
Azeetab 40,Sun Pharma,fexofenadine 250 mg,10 tablets,476.21
Amoxsol 1000,Sun Pharma,PREGABALIN-200mg,15 tablets,12.34
Omeforte 10,Sanofi India,Rosuvastatin (1000mg),1 bottle,0.0
Dolosol 20,Intas Pharma,Methylcobalamin (100mg),1 bottle,327.18
Cetplus 1000,Intas Pharma,tramadol 500mg,5 ml,594.15
Omecin 40,Dr Reddy,Alprazolam 40 mg,6 tablets,126.18
Cetsol 10,Mankind Pharma,ranitidine(200 mg),10 tablets,234.28
Metsol 20,Himalaya,FEXOFENADINE-40mg,30 tablets,235.16
Panod 500,Dabur Pharma,ATORVASTATIN-400mg,6 tablets,471.8
Cetds 40,Aurobindo Pharma,Metoprolol (100mg),1 bottle,119.19
Metplus 500,Dabur Pharma,montelukast(5 mg),15 tablets,287.8
Pands 10,Dabur Pharma,Clonazepam 1000  mg,30 tablets,467.42
Clavcap 20,Mankind Pharma,glimepiride(400mg),1 bottle,0.0
Dolocap 20,Sun Pharma,telmisartan 5mg,10 capsules,383.09
Clavxr 20,Sun Pharma,Esomeprazole 200 mg,15 tablets,525.19
Panplus 10,Aurobindo Pharma,Levothyroxine 10 mg,30 tablets,81.76
Cetds 20,Glenmark,amoxicillin(200 mg),30 tablets,570.13
Brusr 20,Sanofi India,Glimepiride 1000  mg,1 bottle,327.03
Bruod 250,Sun Pharma,Levocetirizine 10 mg,5 ml,58.32
Azeeplus 40,Alkem Labs,Omeprazole (1000mg),5 ml,559.95
Dolocin 40,Wockhardt,Sertraline 500  mg,6 tablets,208.51
Amoxplus 20,GSK India,Ibuprofen 10 mg,6 tablets,533.0
Azeeforte 250,Wockhardt,doxycycline(500 mg),10 capsules,530.7
Clavsol 10,Wockhardt,Ibuprofen 250  mg,5 ml,0.0
Augds 20,Wockhardt,losartan(40mg),10 tablets,107.35
Metds 1000,Glenmark,MONTELUKAST-500mg,10 tablets,523.81
Omexr 500,Sanofi India,ranitidine 1000 mg,5 ml,314.24
Dolods 1000,Aurobindo Pharma,Levocetirizine (400 mg),15 tablets,138.67
Bruod 1000,Novartis India,Omeprazole 20 mg,10 capsules,57.76
Augsr 1000,Hetero Drugs,paracetamol(100mg),15 tablets,318.32
Pansol 40,Wockhardt,doxycycline 1000 mg,15 tablets,258.1
Clavxr 40,Sanofi India,Doxycycline 200 mg,5 ml,445.34
Augxr 250,Abbott India,ATORVASTATIN-20mg,30 tablets,290.25
Amoxforte 10,Pfizer India,Diclofenac (400mg),30 tablets,281.24
Azeeforte 40,Aurobindo Pharma,AMLODIPINE-1000mg,1 bottle,32.35
Augforte 20,Torrent Pharma,Calcium carbonate 40  mg,5 ml,169.39
Dolosol 10,Zydus Cadila,glimepiride 5 mg,10 capsules,451.94
Bruds 10,Aurobindo Pharma,Ibuprofen 400 mg,1 bottle,174.58
Amoxod 10,Hetero Drugs,Sertraline 10  mg,10 tablets,215.63
Clavcin 250,Cipla,SERTRALINE-5mg,10 capsules,0.0
Dolods 500,Hetero Drugs,Telmisartan 500 mg,1 bottle,151.36
Metforte 500,Wockhardt,aspirin 5 mg,30 tablets,548.96
Panplus 10,Sun Pharma,Levocetirizine (10 mg),5 ml,25.11
Doloxr 250,Intas Pharma,ATORVASTATIN-500mg,10 capsules,54.57
Omeds 250,Glenmark,Methylcobalamin 200  mg,10 tablets,412.25
Amoxplus 10,Wockhardt,Diclofenac 200 mg,10 tablets,273.62
Augod 10,Sun Pharma,Levocetirizine 5  mg,30 tablets,244.74
Dolocap 1000,Dabur Pharma,RABEPRAZOLE-400mg,10 tablets,247.24
Cetsol 40,Dr Reddy,ibuprofen(5 mg),30 tablets,145.08
Panforte 1000,Intas Pharma,Ranitidine 40  mg,5 ml,504.2
Panforte 250,Dr Reddy,FEXOFENADINE-40mg,30 tablets,136.04
Metsol 20,Intas Pharma,Amoxicillin 100 mg,1 bottle,357.74
Amoxplus 500,Torrent Pharma,ALPRAZOLAM-250mg,1 bottle,9.58
Azeesr 40,Abbott India,CETIRIZINE-250mg,5 ml,141.59
Amoxtab 500,GSK India,levocetirizine 10 mg,1 bottle,61.38
Azeeforte 500,Zydus Cadila,Alprazolam (5mg),30 tablets,166.38
Clavds 20,Hetero Drugs,Levothyroxine (400 mg),15 tablets,223.89
Clavcin 20,Dabur Pharma,pregabalin 250 mg,5 ml,317.33
Dolods 250,Aurobindo Pharma,atorvastatin(40mg),30 tablets,231.06
Metplus 20,Lupin,DOXYCYCLINE-400mg,10 capsules,459.23
Amoxxr 500,Novartis India,AMOXICILLIN-500mg,10 tablets,161.4
Clavforte 20,Lupin,RANITIDINE-100mg,6 tablets,282.28
Azeeforte 500,Mankind Pharma,Metformin (200 mg),10 tablets,287.53
Mettab 1000,Dr Reddy,Omeprazole 100 mg,15 tablets,530.53
Metcin 1000,Abbott India,metformin 1000mg,10 tablets,183.72
Clavds 1000,Wockhardt,cetirizine(500mg),30 tablets,400.88
Omeds 40,Glenmark,fexofenadine 400mg,30 tablets,584.46
Bruplus 40,Zydus Cadila,levocetirizine 200mg,10 tablets,56.56
Bruxr 40,Lupin,Cetirizine 250 mg,6 tablets,0.0
Omexr 20,Torrent Pharma,CLONAZEPAM-20mg,15 tablets,91.71
Brucap 40,Hetero Drugs,Metoprolol 1000 mg,6 tablets,471.04
Amoxsr 20,Sanofi India,Rabeprazole (20mg),15 tablets,481.38
Dolosr 500,Abbott India,paracetamol(500 mg),15 tablets,457.96
Augplus 20,Sun Pharma,DOMPERIDONE-40mg,10 tablets,209.04
Clavforte 250,Lupin,Domperidone 400  mg,15 tablets,182.78
Cetds 10,Sun Pharma,amoxicillin(250 mg),6 tablets,17.43
Bruforte 1000,Torrent Pharma,IBUPROFEN-40mg,10 tablets,532.75
Amoxtab 40,Himalaya,Ondansetron (250 mg),10 tablets,305.58
Omexr 1000,Alkem Labs,fexofenadine 1000 mg,10 tablets,379.19
Azeeds 10,GSK India,ciprofloxacin(5 mg),10 capsules,438.98
Panxr 40,Alkem Labs,Zinc Sulphate (400mg),1 bottle,83.76
Brucin 1000,Alkem Labs,Ibuprofen (1000mg),10 capsules,293.34
Metds 250,Dabur Pharma,diclofenac(1000mg),10 tablets,130.73
Metds 500,Glenmark,losartan(5 mg),6 tablets,570.84
Clavcin 1000,Pfizer India,vitamin d3 10mg,5 ml,146.15
Metcin 20,Wockhardt,Vitamin D3 (500 mg),1 bottle,204.18
Azeeds 10,Novartis India,Ondansetron (40 mg),30 tablets,490.3
Dolods 40,Himalaya,CLOPIDOGREL-1000mg,15 tablets,117.86
Metcap 500,Lupin,Pantoprazole (400 mg),10 capsules,0.0
Amoxxr 10,Wockhardt,alprazolam 5 mg,10 capsules,544.74
Azeesol 10,Glenmark,zinc sulphate 1000 mg,5 ml,584.35
Metforte 40,Zydus Cadila,methylcobalamin 40 mg,10 tablets,126.79
Clavsr 1000,Mankind Pharma,rosuvastatin(250 mg),10 capsules,326.17
Cetxr 10,Aurobindo Pharma,atorvastatin(100mg),6 tablets,199.35
Metplus 20,Torrent Pharma,Azithromycin 40  mg,30 tablets,248.51
Brusr 20,Lupin,rosuvastatin 10 mg,10 capsules,362.52
Azeecap 250,Hetero Drugs,METFORMIN-200mg,6 tablets,502.36
Cetcap 1000,Himalaya,amoxicillin 1000mg,1 bottle,93.59
Bruxr 20,Mankind Pharma,doxycycline(100mg),1 bottle,36.9
Amoxcin 500,Sanofi India,Fexofenadine (500mg),10 tablets,
Azeexr 10,Abbott India,Clopidogrel 400 mg,30 tablets,592.16
Dolosol 20,Wockhardt,levothyroxine 200mg,10 tablets,99.31
Cetsr 500,Aurobindo Pharma,fexofenadine 40 mg,6 tablets,36.46
Cetds 1000,Lupin,Montelukast (200 mg),10 capsules,249.99
Omeforte 1000,Cipla,metoprolol 5 mg,15 tablets,435.81
Augsr 1000,Sun Pharma,DOXYCYCLINE-400mg,6 tablets,525.85
Metod 1000,Wockhardt,PANTOPRAZOLE-1000mg,30 tablets,243.42
Pansr 1000,Novartis India,Ondansetron 250 mg,10 capsules,56.65
Augsr 1000,Sanofi India,methylcobalamin(10mg),10 tablets,227.23
Cetforte 500,Intas Pharma,Telmisartan (100mg),10 capsules,405.93
Dolood 10,Abbott India,gabapentin(40mg),10 capsules,169.09
Doloforte 1000,GSK India,Levothyroxine (200 mg),10 tablets,437.37
Augsr 250,Wockhardt,DOXYCYCLINE-100mg,10 capsules,207.08
Clavcin 10,Torrent Pharma,metoprolol(250mg),5 ml,247.71
Augsr 250,Hetero Drugs,AZITHROMYCIN-500mg,10 capsules,596.51
