medicine_name,manufacturer,composition,packaging,price,cleaned_composition,manufacturer_enc
Dolood 250,Hetero Drugs,Ranitidine 1000  mg,5 ml,166.37,ranitidine 1000mg,8
Clavxr 10,Sanofi India,PANTOPRAZOLE-500mg,10 tablets,185.69,pantoprazole 500mg,15
Clavforte 500,Aurobindo Pharma,ESOMEPRAZOLE-400mg,5 ml,178.82,esomeprazole 400mg,2
Metforte 500,Glenmark,Telmisartan 1000  mg,6 tablets,340.23,telmisartan 1000mg,7
Metcap 1000,Novartis India,levocetirizine(20mg),30 tablets,127.91,levocetirizine 20mg,13
Omeforte 10,Zydus Cadila,rabeprazole(40 mg),30 tablets,56.42,rabeprazole 40mg,19
Amoxsol 40,Abbott India,levocetirizine(5mg),30 tablets,177.68,levocetirizine 5mg,0
Omexr 40,Sun Pharma,fexofenadine(400mg),1 bottle,326.73,fexofenadine 400mg,16
Dolosol 40,Wockhardt,Aspirin (400 mg),10 tablets,568.23,aspirin 400mg,18
Metcin 10,Dr Reddy,Alprazolam 5 mg,10 tablets,485.39,alprazolam 5mg,5
Azeeod 10,Lupin,Sertraline (40mg),30 tablets,490.19,sertraline 40mg,11
Amoxod 500,Aurobindo Pharma,IBUPROFEN-400mg,6 tablets,77.75,ibuprofen 400mg,2
Augxr 500,Intas Pharma,ondansetron(5mg),5 ml,199.4,ondansetron 5mg,10
Brusol 500,Intas Pharma,Vitamin d3 40 mg,30 tablets,361.93,vitamin d3 40mg,10
Bruod 1000,Sun Pharma,vitamin d3 200 mg,15 tablets,307.33,vitamin d3 200mg,16
Amoxod 10,Aurobindo Pharma,Azithromycin 40 mg,6 tablets,60.35,azithromycin 40mg,2
Dolosol 20,Abbott India,ibuprofen(10 mg),15 tablets,73.68,ibuprofen 10mg,0
Amoxsol 10,Abbott India,OMEPRAZOLE-5mg,30 tablets,551.24,omeprazole 5mg,0
Panod 20,Lupin,doxycycline(200mg),30 tablets,479.91,doxycycline 200mg,11
Pantab 1000,Dabur Pharma,Atorvastatin 10  mg,15 tablets,545.96,atorvastatin 10mg,4
Pancin 1000,Dr Reddy,glimepiride(200 mg),5 ml,396.45,glimepiride 200mg,5
Omesol 1000,Intas Pharma,ATORVASTATIN-500mg,15 tablets,305.15,atorvastatin 500mg,10
Dolosol 250,Cipla,PREGABALIN-200mg,15 tablets,259.88,pregabalin 200mg,3
Azeexr 250,Lupin,cetirizine(40 mg),15 tablets,55.26,cetirizine 40mg,11
Azeeds 40,Sun Pharma,Amlodipine 100 mg,15 tablets,60.25,amlodipine 100mg,16
Augtab 20,Glenmark,gabapentin 20 mg,15 tablets,134.17,gabapentin 20mg,7
Brusol 20,Intas Pharma,Esomeprazole 40  mg,5 ml,50.47,esomeprazole 40mg,10
Brutab 20,Dabur Pharma,amoxicillin 40 mg,10 tablets,599.26,amoxicillin 40mg,4
Bruds 1000,Aurobindo Pharma,CALCIUM CARBONATE-10mg,10 tablets,489.98,calcium carbonate 10mg,2
Cetforte 1000,Dr Reddy,ranitidine 40 mg,10 tablets,296.04,ranitidine 40mg,5
Clavplus 20,Dabur Pharma,tramadol(200 mg),6 tablets,319.22,tramadol 200mg,4
Metcin 250,Himalaya,calcium carbonate(100mg),10 capsules,226.59,calcium carbonate 100mg,9
Brusol 1000,Hetero Drugs,Clopidogrel 10  mg,6 tablets,223.52,clopidogrel 10mg,8
Bruxr 500,Pfizer India,Ranitidine (20 mg),15 tablets,458.17,ranitidine 20mg,14
Pantab 1000,GSK India,Losartan (1000 mg),10 tablets,516.54,losartan 1000mg,6
Brucap 1000,Sanofi India,Ciprofloxacin 250 mg,6 tablets,31.99,ciprofloxacin 250mg,15
Azeeod 250,Wockhardt,Cetirizine (250mg),1 bottle,406.01,cetirizine 250mg,18
Pansr 10,Novartis India,CETIRIZINE-40mg,15 tablets,107.75,cetirizine 40mg,13
Clavtab 500,Torrent Pharma,omeprazole(500mg),1 bottle,228.83,omeprazole 500mg,17
Dolosr 500,Glenmark,Aspirin (500 mg),15 tablets,105.52,aspirin 500mg,7
Dolosr 20,Lupin,paracetamol 10 mg,6 tablets,588.48,paracetamol 10mg,11
Omecin 1000,Novartis India,ASPIRIN-250mg,10 tablets,68.58,aspirin 250mg,13
Dolocap 20,Dr Reddy,clopidogrel 400mg,10 capsules,458.48,clopidogrel 400mg,5
Panxr 500,Dabur Pharma,omeprazole(5 mg),15 tablets,455.56,omeprazole 5mg,4
Omecap 250,Novartis India,Ibuprofen 400 mg,10 capsules,139.38,ibuprofen 400mg,13
Clavcin 1000,Aurobindo Pharma,DICLOFENAC-200mg,10 capsules,490.08,diclofenac 200mg,2
Amoxforte 500,Cipla,levocetirizine(10 mg),6 tablets,315.73,levocetirizine 10mg,3
Brusr 500,Aurobindo Pharma,Rabeprazole (1000mg),30 tablets,146.25,rabeprazole 1000mg,2
Augxr 250,Glenmark,Amoxicillin 1000 mg,15 tablets,556.45,amoxicillin 1000mg,7
Dolosol 40,Cipla,montelukast(200 mg),15 tablets,20.13,montelukast 200mg,3
Amoxplus 10,Aurobindo Pharma,ondansetron(40mg),30 tablets,466.13,ondansetron 40mg,2
Cetsol 40,Intas Pharma,levothyroxine(250mg),6 tablets,91.38,levothyroxine 250mg,10
Augcap 1000,Torrent Pharma,Alprazolam (250mg),10 tablets,73.48,alprazolam 250mg,17
Cetplus 500,Aurobindo Pharma,ranitidine(40 mg),10 tablets,226.4,ranitidine 40mg,2
Dolood 1000,Dabur Pharma,DOXYCYCLINE-400mg,5 ml,220.43,doxycycline 400mg,4
Metcin 1000,Sanofi India,LEVOTHYROXINE-400mg,1 bottle,19.99,levothyroxine 400mg,15
Augcap 250,Dabur Pharma,ondansetron(40mg),10 tablets,295.34,ondansetron 40mg,4
Augds 500,Dr Reddy,amlodipine 250mg,1 bottle,543.86,amlodipine 250mg,5
Augcin 10,Dabur Pharma,Ranitidine 1000  mg,15 tablets,139.0,ranitidine 1000mg,4
Cetds 250,Abbott India,Amoxicillin (5mg),10 capsules,186.83,amoxicillin 5mg,0
Omeod 250,Cipla,PARACETAMOL-40mg,1 bottle,70.9,paracetamol 40mg,3
Omeod 250,Dabur Pharma,Esomeprazole 400 mg,1 bottle,9.22,esomeprazole 400mg,4
Cetcap 1000,Lupin,Vitamin d3 250  mg,1 bottle,230.93,vitamin d3 250mg,11
Clavplus 250,Hetero Drugs,fluoxetine(1000mg),30 tablets,438.44,fluoxetine 1000mg,8
Dolosol 500,Intas Pharma,Metoprolol (400mg),5 ml,447.8,metoprolol 400mg,10
Doloxr 1000,Dr Reddy,tramadol(20 mg),30 tablets,269.13,tramadol 20mg,5
Dolosol 40,Intas Pharma,paracetamol(10mg),5 ml,371.65,paracetamol 10mg,10
Bruforte 250,Wockhardt,Diclofenac 40  mg,6 tablets,212.0,diclofenac 40mg,18
Clavcap 20,Sun Pharma,LEVOCETIRIZINE-1000mg,5 ml,59.23,levocetirizine 1000mg,16
Clavcin 500,Dr Reddy,Pregabalin 500 mg,5 ml,86.17,pregabalin 500mg,5
Augxr 500,Sun Pharma,Sertraline 400  mg,1 bottle,206.5,sertraline 400mg,16
Cettab 500,Hetero Drugs,fluoxetine(10mg),10 capsules,232.1,fluoxetine 10mg,8
Ometab 1000,Abbott India,Alprazolam 500  mg,1 bottle,508.72,alprazolam 500mg,0
Dolosol 20,Pfizer India,AMOXICILLIN-250mg,5 ml,453.39,amoxicillin 250mg,14
Bruforte 20,Zydus Cadila,ASPIRIN-1000mg,30 tablets,397.95,aspirin 1000mg,19
Azeeplus 250,GSK India,ZINC SULPHATE-5mg,5 ml,298.61,zinc sulphate 5mg,6
Dolosol 20,Himalaya,fluoxetine 10 mg,10 tablets,90.56,fluoxetine 10mg,9
Bruxr 1000,Mankind Pharma,ibuprofen 1000 mg,6 tablets,116.92,ibuprofen 1000mg,12
Cetplus 1000,Zydus Cadila,Ciprofloxacin (500 mg),1 bottle,566.3,ciprofloxacin 500mg,19
Bruod 10,Aurobindo Pharma,aspirin 40 mg,30 tablets,586.64,aspirin 40mg,2
Clavcap 20,Sun Pharma,levocetirizine 20mg,1 bottle,255.93,levocetirizine 20mg,16
Cetsr 10,Wockhardt,Azithromycin (20mg),5 ml,428.89,azithromycin 20mg,18
Metplus 40,Pfizer India,levothyroxine(250mg),10 capsules,527.38,levothyroxine 250mg,14
Dolocin 500,Wockhardt,methylcobalamin 10mg,5 ml,95.23,methylcobalamin 10mg,18
Augod 10,Intas Pharma,Tramadol (400 mg),30 tablets,515.92,tramadol 400mg,10
Metsol 40,Pfizer India,Clonazepam (100mg),10 tablets,369.69,clonazepam 100mg,14
Cetcin 20,Alkem Labs,PREGABALIN-20mg,1 bottle,421.64,pregabalin 20mg,1
Brusol 10,Pfizer India,Ondansetron 40  mg,10 tablets,381.04,ondansetron 40mg,14
Omecap 500,Sun Pharma,CLONAZEPAM-10mg,10 tablets,24.02,clonazepam 10mg,16
Bruplus 20,Torrent Pharma,clonazepam(100mg),15 tablets,128.5,clonazepam 100mg,17
Azeecap 40,Sun Pharma,Diclofenac 200  mg,5 ml,327.83,diclofenac 200mg,16
Doloplus 20,Sun Pharma,Omeprazole 5 mg,5 ml,551.07,omeprazole 5mg,16
Omeod 500,Dabur Pharma,domperidone 20mg,30 tablets,229.53,domperidone 20mg,4
Brutab 10,Glenmark,Paracetamol (1000mg),30 tablets,212.23,paracetamol 1000mg,7
Azeeod 40,Alkem Labs,Metformin (400 mg),10 capsules,456.34,metformin 400mg,1
Mettab 1000,Cipla,atorvastatin 500mg,30 tablets,248.15,atorvastatin 500mg,3
Omeplus 20,Sanofi India,DOXYCYCLINE-250mg,6 tablets,390.27,doxycycline 250mg,15
Clavcin 250,Alkem Labs,Rosuvastatin (5 mg),10 tablets,553.93,rosuvastatin 5mg,1
Augds 1000,GSK India,Glimepiride (20 mg),5 ml,29.37,glimepiride 20mg,6
Azeeds 40,Aurobindo Pharma,Metoprolol (20 mg),10 capsules,424.34,metoprolol 20mg,2
Bruds 10,Sanofi India,omeprazole 10mg,1 bottle,74.79,omeprazole 10mg,15
Azeesol 40,Himalaya,rabeprazole 20 mg,6 tablets,125.93,rabeprazole 20mg,9
Metforte 500,Glenmark,Amoxicillin (250 mg),10 capsules,159.31,amoxicillin 250mg,7
Cetds 1000,Pfizer India,rosuvastatin 10 mg,6 tablets,154.17,rosuvastatin 10mg,14
Cetxr 10,Mankind Pharma,vitamin d3(200 mg),30 tablets,398.4,vitamin d3 200mg,12
Dolods 1000,Cipla,sertraline(250 mg),10 tablets,557.99,sertraline 250mg,3
Azeeforte 500,Sun Pharma,DOXYCYCLINE-250mg,15 tablets,101.29,doxycycline 250mg,16
Metplus 1000,Novartis India,rabeprazole(10 mg),5 ml,49.22,rabeprazole 10mg,13
Clavsr 500,Sun Pharma,GABAPENTIN-20mg,10 capsules,532.51,gabapentin 20mg,16
Augsr 10,GSK India,CIPROFLOXACIN-400mg,5 ml,552.55,ciprofloxacin 400mg,6
Augds 10,Glenmark,ALPRAZOLAM-100mg,15 tablets,125.46,alprazolam 100mg,7
Cetplus 500,Dr Reddy,DICLOFENAC-1000mg,10 tablets,122.53,diclofenac 1000mg,5
Omeod 40,Pfizer India,Metformin 500  mg,1 bottle,542.75,metformin 500mg,14
Clavxr 1000,Aurobindo Pharma,Vitamin D3 (40 mg),30 tablets,464.95,vitamin d3 40mg,2
Amoxcap 40,Mankind Pharma,ZINC SULPHATE-500mg,5 ml,232.88,zinc sulphate 500mg,12
Omeod 250,Zydus Cadila,TRAMADOL-5mg,5 ml,458.06,tramadol 5mg,19
Omeforte 250,Himalaya,Azithromycin 250  mg,10 tablets,449.17,azithromycin 250mg,9
Pancap 10,Sun Pharma,Metoprolol (10 mg),10 capsules,214.4,metoprolol 10mg,16
Azeesol 500,Dabur Pharma,losartan 20 mg,1 bottle,196.64,losartan 20mg,4
Omeplus 20,Dabur Pharma,Rosuvastatin (40 mg),15 tablets,246.53,rosuvastatin 40mg,4
Bruxr 1000,Zydus Cadila,Doxycycline 1000 mg,5 ml,94.58,doxycycline 1000mg,19
Augcap 1000,Himalaya,gabapentin 250 mg,15 tablets,9.55,gabapentin 250mg,9
Doloplus 500,Novartis India,Omeprazole (200 mg),5 ml,495.75,omeprazole 200mg,13
Brusol 10,Abbott India,DOMPERIDONE-500mg,30 tablets,362.18,domperidone 500mg,0
Panod 250,Cipla,Paracetamol (1000mg),6 tablets,319.58,paracetamol 1000mg,3
Panplus 20,Lupin,pregabalin(20 mg),6 tablets,580.57,pregabalin 20mg,11
Augxr 10,Abbott India,ciprofloxacin 500mg,6 tablets,60.4,ciprofloxacin 500mg,0
Cetxr 20,Dr Reddy,gabapentin(250mg),15 tablets,47.53,gabapentin 250mg,5
Augcin 1000,Torrent Pharma,Methylcobalamin 100 mg,5 ml,547.53,methylcobalamin 100mg,17
Metcin 20,Novartis India,omeprazole 500mg,15 tablets,264.13,omeprazole 500mg,13
Azeeod 250,Zydus Cadila,zinc sulphate 5 mg,10 tablets,450.22,zinc sulphate 5mg,19
Pantab 10,Hetero Drugs,Ciprofloxacin 40  mg,6 tablets,488.88,ciprofloxacin 40mg,8
Cetds 20,GSK India,Cetirizine 5  mg,1 bottle,487.81,cetirizine 5mg,6
Omexr 40,Hetero Drugs,fexofenadine(400 mg),10 tablets,103.59,fexofenadine 400mg,8
Augds 40,Wockhardt,Pantoprazole 40 mg,1 bottle,312.81,pantoprazole 40mg,18
Dolocap 500,Aurobindo Pharma,Diclofenac (1000 mg),5 ml,333.78,diclofenac 1000mg,2
Clavsol 1000,Intas Pharma,Gabapentin 250 mg,10 capsules,342.84,gabapentin 250mg,10
Dolocin 250,Novartis India,domperidone 400 mg,10 tablets,551.73,domperidone 400mg,13
Azeeod 500,Glenmark,Diclofenac 10 mg,1 bottle,346.42,diclofenac 10mg,7
Azeesr 250,Dr Reddy,rosuvastatin 1000 mg,10 capsules,391.79,rosuvastatin 1000mg,5
Pancin 40,Hetero Drugs,Fexofenadine (500mg),5 ml,365.25,fexofenadine 500mg,8
Pantab 250,Himalaya,CIPROFLOXACIN-250mg,15 tablets,440.8,ciprofloxacin 250mg,9
Metsol 10,Mankind Pharma,CALCIUM CARBONATE-500mg,15 tablets,366.0,calcium carbonate 500mg,12
Augsol 250,Cipla,IBUPROFEN-1000mg,10 tablets,564.73,ibuprofen 1000mg,3
Clavsr 1000,Torrent Pharma,RABEPRAZOLE-10mg,6 tablets,149.62,rabeprazole 10mg,17
Omeplus 1000,GSK India,glimepiride 250mg,5 ml,239.49,glimepiride 250mg,6
Bruds 10,Cipla,levocetirizine 40 mg,6 tablets,475.08,levocetirizine 40mg,3
Omeplus 10,Glenmark,esomeprazole 400mg,6 tablets,395.95,esomeprazole 400mg,7
Amoxds 500,Alkem Labs,levocetirizine(500 mg),6 tablets,473.64,levocetirizine 500mg,1
Brusr 500,Mankind Pharma,Rosuvastatin 400  mg,5 ml,265.03,rosuvastatin 400mg,12
Bruod 20,Mankind Pharma,ALPRAZOLAM-100mg,5 ml,137.32,alprazolam 100mg,12
Azeecin 1000,Glenmark,aspirin(10 mg),5 ml,22.08,aspirin 10mg,7
Clavsol 20,Mankind Pharma,tramadol 5mg,5 ml,35.04,tramadol 5mg,12
Omeforte 250,Novartis India,levocetirizine 20mg,30 tablets,408.54,levocetirizine 20mg,13
Omeplus 500,Mankind Pharma,Montelukast (250 mg),10 capsules,211.3,montelukast 250mg,12
Augod 1000,Abbott India,TRAMADOL-200mg,5 ml,119.35,tramadol 200mg,0
Dolood 250,Abbott India,CETIRIZINE-10mg,6 tablets,170.66,cetirizine 10mg,0
Bruxr 500,Zydus Cadila,ranitidine 20 mg,10 capsules,485.23,ranitidine 20mg,19
Metds 40,Abbott India,Clonazepam 500  mg,10 capsules,408.72,clonazepam 500mg,0
Clavtab 20,Cipla,Omeprazole 200 mg,5 ml,145.43,omeprazole 200mg,3
Metsr 40,Glenmark,montelukast 500 mg,5 ml,26.5,montelukast 500mg,7
Metsol 10,Wockhardt,Ranitidine (400 mg),1 bottle,156.11,ranitidine 400mg,18
Cetxr 1000,Hetero Drugs,Omeprazole 250  mg,1 bottle,530.72,omeprazole 250mg,8
Augxr 500,Lupin,alprazolam(200mg),10 capsules,16.36,alprazolam 200mg,11
Brusol 250,Dabur Pharma,Methylcobalamin (400mg),5 ml,475.74,methylcobalamin 400mg,4
Amoxforte 250,GSK India,Clopidogrel 1000 mg,10 tablets,429.67,clopidogrel 1000mg,6
Mettab 500,Wockhardt,GABAPENTIN-20mg,1 bottle,571.74,gabapentin 20mg,18
Azeeforte 250,Cipla,clonazepam(400 mg),30 tablets,397.28,clonazepam 400mg,3
Pancap 20,Intas Pharma,Esomeprazole 400 mg,30 tablets,112.02,esomeprazole 400mg,10
Dolosr 10,Hetero Drugs,Losartan 20 mg,5 ml,284.2,losartan 20mg,8
Amoxplus 500,Sun Pharma,clopidogrel(100mg),6 tablets,538.02,clopidogrel 100mg,16
Mettab 250,Dabur Pharma,Montelukast 400 mg,30 tablets,413.92,montelukast 400mg,4
Omeforte 250,Lupin,Vitamin d3 40  mg,6 tablets,249.54,vitamin d3 40mg,11
Omesr 500,Glenmark,Tramadol 20 mg,5 ml,515.48,tramadol 20mg,7
Metod 500,Sanofi India,Metoprolol (1000mg),1 bottle,100.78,metoprolol 1000mg,15
Pansr 40,Pfizer India,amlodipine(200 mg),1 bottle,180.87,amlodipine 200mg,14
Azeeod 250,Novartis India,RABEPRAZOLE-5mg,1 bottle,533.14,rabeprazole 5mg,13
Metplus 10,Dabur Pharma,Metformin (200mg),5 ml,413.43,metformin 200mg,4
Bruds 20,Abbott India,ATORVASTATIN-400mg,5 ml,64.98,atorvastatin 400mg,0
Panforte 250,Mankind Pharma,Pregabalin 20 mg,10 tablets,152.26,pregabalin 20mg,12
Omesol 20,Zydus Cadila,GABAPENTIN-100mg,10 tablets,397.26,gabapentin 100mg,19
Omexr 20,Alkem Labs,ranitidine(500mg),6 tablets,79.96,ranitidine 500mg,1
Omesr 500,Novartis India,LEVOCETIRIZINE-250mg,10 capsules,445.06,levocetirizine 250mg,13
Augcap 250,GSK India,alprazolam 200 mg,1 bottle,33.3,alprazolam 200mg,6
Omexr 500,Sun Pharma,Cetirizine 500 mg,1 bottle,167.24,cetirizine 500mg,16
Augcin 20,Mankind Pharma,Gabapentin (250 mg),15 tablets,227.82,gabapentin 250mg,12
Amoxforte 1000,Torrent Pharma,vitamin d3(1000mg),5 ml,561.37,vitamin d3 1000mg,17
Omeod 500,Glenmark,zinc sulphate 1000 mg,1 bottle,276.48,zinc sulphate 1000mg,7
Cetxr 500,Sanofi India,diclofenac(10mg),1 bottle,354.12,diclofenac 10mg,15
Panforte 1000,Novartis India,Ondansetron 1000  mg,15 tablets,300.7,ondansetron 1000mg,13
Cetsol 40,Cipla,clonazepam 40 mg,15 tablets,395.92,clonazepam 40mg,3
Bruxr 500,Intas Pharma,rabeprazole 1000mg,5 ml,300.59,rabeprazole 1000mg,10
Omeplus 500,Pfizer India,Glimepiride (10mg),1 bottle,378.72,glimepiride 10mg,14
Azeexr 500,Dabur Pharma,Alprazolam (400mg),1 bottle,533.21,alprazolam 400mg,4
Panplus 20,Abbott India,rabeprazole(400 mg),10 tablets,138.17,rabeprazole 400mg,0
Dolood 500,Dr Reddy,CIPROFLOXACIN-1000mg,5 ml,450.12,ciprofloxacin 1000mg,5
Bruforte 20,GSK India,CALCIUM CARBONATE-10mg,10 tablets,140.05,calcium carbonate 10mg,6
Omeds 10,Himalaya,METFORMIN-1000mg,10 tablets,108.84,metformin 1000mg,9
Azeetab 10,Sun Pharma,AZITHROMYCIN-5mg,10 tablets,420.34,azithromycin 5mg,16
Clavds 40,Pfizer India,metformin 40 mg,10 capsules,157.21,metformin 40mg,14
Dolocap 500,Dabur Pharma,vitamin d3(20 mg),10 tablets,71.02,vitamin d3 20mg,4
Omeds 20,Hetero Drugs,Levocetirizine 250  mg,10 capsules,324.45,levocetirizine 250mg,8
Doloxr 500,GSK India,Paracetamol (10 mg),15 tablets,64.07,paracetamol 10mg,6
Cetxr 250,Hetero Drugs,pantoprazole 20 mg,1 bottle,255.78,pantoprazole 20mg,8
Clavsol 20,Dr Reddy,fluoxetine(400 mg),10 tablets,512.94,fluoxetine 400mg,5
Cettab 10,Hetero Drugs,Atorvastatin 10  mg,15 tablets,139.31,atorvastatin 10mg,8
Azeeforte 1000,GSK India,Azithromycin (400mg),10 capsules,350.41,azithromycin 400mg,6
Cetod 1000,GSK India,CALCIUM CARBONATE-500mg,6 tablets,451.84,calcium carbonate 500mg,6
Metod 20,Wockhardt,alprazolam 400mg,5 ml,332.51,alprazolam 400mg,18
Doloforte 250,Zydus Cadila,telmisartan(5mg),15 tablets,267.26,telmisartan 5mg,19
Amoxsr 10,Dr Reddy,ranitidine(250 mg),6 tablets,539.63,ranitidine 250mg,5
Azeexr 500,Cipla,Ranitidine 5 mg,10 tablets,346.3,ranitidine 5mg,3
Azeeforte 20,Dabur Pharma,Aspirin 250 mg,1 bottle,35.32,aspirin 250mg,4
Cetplus 40,Novartis India,montelukast(500 mg),1 bottle,27.01,montelukast 500mg,13
Metforte 40,GSK India,Ranitidine 10 mg,6 tablets,567.86,ranitidine 10mg,6
Clavsr 500,Alkem Labs,Alprazolam (1000mg),15 tablets,561.11,alprazolam 1000mg,1
Amoxcin 40,Abbott India,Amlodipine 10 mg,6 tablets,552.57,amlodipine 10mg,0
Metcin 10,Dabur Pharma,Pantoprazole (200mg),10 capsules,406.84,pantoprazole 200mg,4
Azeetab 40,Sun Pharma,fexofenadine 250 mg,10 tablets,476.21,fexofenadine 250mg,16
Amoxsol 1000,Sun Pharma,PREGABALIN-200mg,15 tablets,12.34,pregabalin 200mg,16
Dolosol 20,Intas Pharma,Methylcobalamin (100mg),1 bottle,327.18,methylcobalamin 100mg,10
Cetplus 1000,Intas Pharma,tramadol 500mg,5 ml,594.15,tramadol 500mg,10
Omecin 40,Dr Reddy,Alprazolam 40 mg,6 tablets,126.18,alprazolam 40mg,5
Cetsol 10,Mankind Pharma,ranitidine(200 mg),10 tablets,234.28,ranitidine 200mg,12
Metsol 20,Himalaya,FEXOFENADINE-40mg,30 tablets,235.16,fexofenadine 40mg,9
Panod 500,Dabur Pharma,ATORVASTATIN-400mg,6 tablets,471.8,atorvastatin 400mg,4
Cetds 40,Aurobindo Pharma,Metoprolol (100mg),1 bottle,119.19,metoprolol 100mg,2
Metplus 500,Dabur Pharma,montelukast(5 mg),15 tablets,287.8,montelukast 5mg,4
Pands 10,Dabur Pharma,Clonazepam 1000  mg,30 tablets,467.42,clonazepam 1000mg,4
Dolocap 20,Sun Pharma,telmisartan 5mg,10 capsules,383.09,telmisartan 5mg,16
Clavxr 20,Sun Pharma,Esomeprazole 200 mg,15 tablets,525.19,esomeprazole 200mg,16
Panplus 10,Aurobindo Pharma,Levothyroxine 10 mg,30 tablets,81.76,levothyroxine 10mg,2
Cetds 20,Glenmark,amoxicillin(200 mg),30 tablets,570.13,amoxicillin 200mg,7
Brusr 20,Sanofi India,Glimepiride 1000  mg,1 bottle,327.03,glimepiride 1000mg,15
Bruod 250,Sun Pharma,Levocetirizine 10 mg,5 ml,58.32,levocetirizine 10mg,16
Azeeplus 40,Alkem Labs,Omeprazole (1000mg),5 ml,559.95,omeprazole 1000mg,1
Dolocin 40,Wockhardt,Sertraline 500  mg,6 tablets,208.51,sertraline 500mg,18
Amoxplus 20,GSK India,Ibuprofen 10 mg,6 tablets,533.0,ibuprofen 10mg,6
Azeeforte 250,Wockhardt,doxycycline(500 mg),10 capsules,530.7,doxycycline 500mg,18
Augds 20,Wockhardt,losartan(40mg),10 tablets,107.35,losartan 40mg,18
Metds 1000,Glenmark,MONTELUKAST-500mg,10 tablets,523.81,montelukast 500mg,7
Omexr 500,Sanofi India,ranitidine 1000 mg,5 ml,314.24,ranitidine 1000mg,15
Dolods 1000,Aurobindo Pharma,Levocetirizine (400 mg),15 tablets,138.67,levocetirizine 400mg,2
Bruod 1000,Novartis India,Omeprazole 20 mg,10 capsules,57.76,omeprazole 20mg,13
Augsr 1000,Hetero Drugs,paracetamol(100mg),15 tablets,318.32,paracetamol 100mg,8
Pansol 40,Wockhardt,doxycycline 1000 mg,15 tablets,258.1,doxycycline 1000mg,18
Clavxr 40,Sanofi India,Doxycycline 200 mg,5 ml,445.34,doxycycline 200mg,15
Augxr 250,Abbott India,ATORVASTATIN-20mg,30 tablets,290.25,atorvastatin 20mg,0
Amoxforte 10,Pfizer India,Diclofenac (400mg),30 tablets,281.24,diclofenac 400mg,14
Azeeforte 40,Aurobindo Pharma,AMLODIPINE-1000mg,1 bottle,32.35,amlodipine 1000mg,2
Augforte 20,Torrent Pharma,Calcium carbonate 40  mg,5 ml,169.39,calcium carbonate 40mg,17
Dolosol 10,Zydus Cadila,glimepiride 5 mg,10 capsules,451.94,glimepiride 5mg,19
Bruds 10,Aurobindo Pharma,Ibuprofen 400 mg,1 bottle,174.58,ibuprofen 400mg,2
Amoxod 10,Hetero Drugs,Sertraline 10  mg,10 tablets,215.63,sertraline 10mg,8
Dolods 500,Hetero Drugs,Telmisartan 500 mg,1 bottle,151.36,telmisartan 500mg,8
Metforte 500,Wockhardt,aspirin 5 mg,30 tablets,548.96,aspirin 5mg,18
Panplus 10,Sun Pharma,Levocetirizine (10 mg),5 ml,25.11,levocetirizine 10mg,16
Doloxr 250,Intas Pharma,ATORVASTATIN-500mg,10 capsules,54.57,atorvastatin 500mg,10
Omeds 250,Glenmark,Methylcobalamin 200  mg,10 tablets,412.25,methylcobalamin 200mg,7
Amoxplus 10,Wockhardt,Diclofenac 200 mg,10 tablets,273.62,diclofenac 200mg,18
Augod 10,Sun Pharma,Levocetirizine 5  mg,30 tablets,244.74,levocetirizine 5mg,16
Dolocap 1000,Dabur Pharma,RABEPRAZOLE-400mg,10 tablets,247.24,rabeprazole 400mg,4
Cetsol 40,Dr Reddy,ibuprofen(5 mg),30 tablets,145.08,ibuprofen 5mg,5
Panforte 1000,Intas Pharma,Ranitidine 40  mg,5 ml,504.2,ranitidine 40mg,10
Panforte 250,Dr Reddy,FEXOFENADINE-40mg,30 tablets,136.04,fexofenadine 40mg,5
Metsol 20,Intas Pharma,Amoxicillin 100 mg,1 bottle,357.74,amoxicillin 100mg,10
Amoxplus 500,Torrent Pharma,ALPRAZOLAM-250mg,1 bottle,9.58,alprazolam 250mg,17
Azeesr 40,Abbott India,CETIRIZINE-250mg,5 ml,141.59,cetirizine 250mg,0
Amoxtab 500,GSK India,levocetirizine 10 mg,1 bottle,61.38,levocetirizine 10mg,6
Azeeforte 500,Zydus Cadila,Alprazolam (5mg),30 tablets,166.38,alprazolam 5mg,19
Clavds 20,Hetero Drugs,Levothyroxine (400 mg),15 tablets,223.89,levothyroxine 400mg,8
Clavcin 20,Dabur Pharma,pregabalin 250 mg,5 ml,317.33,pregabalin 250mg,4
Dolods 250,Aurobindo Pharma,atorvastatin(40mg),30 tablets,231.06,atorvastatin 40mg,2
Metplus 20,Lupin,DOXYCYCLINE-400mg,10 capsules,459.23,doxycycline 400mg,11
Amoxxr 500,Novartis India,AMOXICILLIN-500mg,10 tablets,161.4,amoxicillin 500mg,13
Clavforte 20,Lupin,RANITIDINE-100mg,6 tablets,282.28,ranitidine 100mg,11
Azeeforte 500,Mankind Pharma,Metformin (200 mg),10 tablets,287.53,metformin 200mg,12
Mettab 1000,Dr Reddy,Omeprazole 100 mg,15 tablets,530.53,omeprazole 100mg,5
Metcin 1000,Abbott India,metformin 1000mg,10 tablets,183.72,metformin 1000mg,0
Clavds 1000,Wockhardt,cetirizine(500mg),30 tablets,400.88,cetirizine 500mg,18
Omeds 40,Glenmark,fexofenadine 400mg,30 tablets,584.46,fexofenadine 400mg,7
